ds,y
8/7/2015,0.37 
8/8/2015,0.68 
8/9/2015,0.14 
8/10/2015,0.31 
8/11/2015,0.11 
8/12/2015,0.33 
8/13/2015,0.25 
8/14/2015,0.14 
8/15/2015,0.09 
8/16/2015,0.07 
8/17/2015,0.08 
8/18/2015,0.12 
8/19/2015,0.15 
8/20/2015,0.07 
8/21/2015,0.08 
8/22/2015,0.43 
8/23/2015,0.08 
8/24/2015,0.09 
8/25/2015,0.08 
8/26/2015,0.07 
8/27/2015,0.09 
8/28/2015,0.10 
8/29/2015,0.06 
8/30/2015,0.06 
8/31/2015,0.07 
9/1/2015,0.08 
9/2/2015,0.08 
9/3/2015,0.07 
9/4/2015,0.10 
9/5/2015,0.09 
9/6/2015,0.08 
9/7/2015,0.09 
9/8/2015,0.10 
9/9/2015,0.10 
9/10/2015,0.08 
9/11/2015,0.09 
9/12/2015,0.11 
9/13/2015,0.10 
9/14/2015,0.10 
9/15/2015,0.08 
9/16/2015,0.15 
9/17/2015,0.09 
9/18/2015,0.12 
9/19/2015,0.08 
9/20/2015,0.11 
9/21/2015,0.10 
9/22/2015,0.11 
9/23/2015,0.11 
9/24/2015,0.10 
9/25/2015,0.10 
9/26/2015,0.09 
9/27/2015,0.08 
9/28/2015,0.09 
9/29/2015,0.09 
9/30/2015,0.08 
10/1/2015,0.09 
10/2/2015,0.10 
10/3/2015,0.10 
10/4/2015,0.09 
10/5/2015,0.12 
10/6/2015,0.10 
10/7/2015,0.12 
10/8/2015,0.12 
10/9/2015,0.11 
10/10/2015,0.11 
10/11/2015,0.09 
10/12/2015,0.11 
10/13/2015,0.12 
10/14/2015,0.12 
10/15/2015,0.19 
10/16/2015,0.21 
10/17/2015,0.12 
10/18/2015,0.13 
10/19/2015,0.12 
10/20/2015,0.12 
10/21/2015,0.10 
10/22/2015,0.13 
10/23/2015,0.14 
10/24/2015,0.11 
10/25/2015,0.09 
10/26/2015,0.11 
10/27/2015,0.19 
10/28/2015,0.11 
10/29/2015,0.13 
10/30/2015,0.14 
10/31/2015,0.16 
11/1/2015,0.16 
11/2/2015,0.10 
11/3/2015,0.12 
11/4/2015,0.09 
11/5/2015,0.11 
11/6/2015,0.16 
11/7/2015,0.32 
11/8/2015,0.30 
11/9/2015,0.11 
11/10/2015,0.15 
11/11/2015,0.23 
11/12/2015,0.26 
11/13/2015,0.15 
11/14/2015,0.19 
11/15/2015,0.12 
11/16/2015,0.10 
11/17/2015,0.10 
11/18/2015,0.10 
11/19/2015,0.16 
11/20/2015,0.12 
11/21/2015,0.11 
11/22/2015,0.11 
11/23/2015,0.13 
11/24/2015,0.13 
11/25/2015,0.13 
11/26/2015,0.09 
11/27/2015,0.09 
11/28/2015,0.15 
11/29/2015,0.09 
11/30/2015,0.21 
12/1/2015,0.13 
12/2/2015,0.11 
12/3/2015,0.11 
12/4/2015,0.12 
12/5/2015,0.13 
12/6/2015,0.17 
12/7/2015,0.10 
12/8/2015,0.09 
12/9/2015,0.10 
12/10/2015,0.11 
12/11/2015,0.17 
12/12/2015,0.23 
12/13/2015,0.19 
12/14/2015,0.75 
12/15/2015,1.14 
12/16/2015,0.44 
12/17/2015,0.32 
12/18/2015,0.32 
12/19/2015,0.29 
12/20/2015,0.34 
12/21/2015,0.39 
12/22/2015,0.59 
12/23/2015,0.81 
12/24/2015,0.46 
12/25/2015,0.27 
12/26/2015,0.31 
12/27/2015,0.87 
12/28/2015,0.36 
12/29/2015,0.33 
12/30/2015,0.76 
12/31/2015,0.25 
1/1/2016,0.16 
1/2/2016,0.19 
1/3/2016,0.19 
1/4/2016,0.21 
1/5/2016,0.60 
1/6/2016,0.67 
1/7/2016,0.66 
1/8/2016,0.26 
1/9/2016,0.39 
1/10/2016,0.26 
1/11/2016,0.26 
1/12/2016,0.26 
1/13/2016,0.60 
1/14/2016,0.27 
1/15/2016,0.23 
1/16/2016,0.23 
1/17/2016,0.17 
1/18/2016,0.31 
1/19/2016,0.36 
1/20/2016,0.19 
1/21/2016,0.20 
1/22/2016,0.31 
1/23/2016,0.17 
1/24/2016,0.24 
1/25/2016,0.40 
1/26/2016,0.38 
1/27/2016,0.57 
1/28/2016,0.41 
1/29/2016,0.37 
1/30/2016,0.35 
1/31/2016,0.34 
2/1/2016,0.33 
2/2/2016,0.30 
2/3/2016,0.28 
2/4/2016,0.33 
2/5/2016,0.39 
2/6/2016,2.41 
2/7/2016,0.53 
2/8/2016,0.38 
2/9/2016,0.50 
2/10/2016,0.59 
2/11/2016,0.47 
2/12/2016,0.33 
2/13/2016,0.36 
2/14/2016,0.28 
2/15/2016,0.31 
2/16/2016,0.33 
2/17/2016,0.41 
2/18/2016,0.29 
2/19/2016,0.37 
2/20/2016,0.27 
2/21/2016,0.28 
2/22/2016,0.33 
2/23/2016,0.94 
2/24/2016,0.52 
2/25/2016,0.32 
2/26/2016,0.51 
2/27/2016,0.28 
2/28/2016,0.29 
2/29/2016,0.33 
3/1/2016,0.34 
3/2/2016,0.39 
3/3/2016,0.35 
3/4/2016,0.34 
3/5/2016,0.34 
3/6/2016,0.38 
3/7/2016,0.30 
3/8/2016,0.33 
3/9/2016,0.26 
3/10/2016,0.20 
3/11/2016,0.19 
3/12/2016,0.24 
3/13/2016,0.26 
3/14/2016,0.28 
3/15/2016,0.24 
3/16/2016,0.24 
3/17/2016,0.32 
3/18/2016,0.27 
3/19/2016,0.44 
3/20/2016,0.36 
3/21/2016,0.33 
3/22/2016,0.26 
3/23/2016,0.33 
3/24/2016,0.41 
3/25/2016,0.40 
3/26/2016,0.35 
3/27/2016,0.19 
3/28/2016,0.26 
3/29/2016,0.24 
3/30/2016,0.37 
3/31/2016,0.25 
4/1/2016,0.24 
4/2/2016,0.18 
4/3/2016,0.18 
4/4/2016,0.25 
4/5/2016,0.29 
4/6/2016,0.22 
4/7/2016,0.21 
4/8/2016,0.25 
4/9/2016,0.20 
4/10/2016,0.19 
4/11/2016,0.19 
4/12/2016,0.23 
4/13/2016,0.33 
4/14/2016,0.32 
4/15/2016,0.23 
4/16/2016,0.17 
4/17/2016,0.30 
4/18/2016,0.20 
4/19/2016,0.19 
4/20/2016,0.24 
4/21/2016,0.30 
4/22/2016,0.21 
4/23/2016,0.20 
4/24/2016,0.23 
4/25/2016,0.24 
4/26/2016,0.22 
4/27/2016,0.21 
