ds,y
5/29/2024,5.08
5/30/2024,5.3
5/31/2024,5.24
6/1/2024,4.41
6/2/2024,5.38
6/3/2024,5.58
6/4/2024,4.67
6/5/2024,6.5
6/6/2024,6.7
6/7/2024,5.84
6/8/2024,4.35
6/9/2024,4.47
6/10/2024,5.17
6/11/2024,5.53
6/12/2024,4.94
6/13/2024,5
6/14/2024,4.29
6/15/2024,2.93
6/16/2024,3.29
6/17/2024,4.15
6/18/2024,4.38
6/19/2024,3.8
6/20/2024,4.28
6/21/2024,3.5
6/22/2024,2.44
6/23/2024,2.87
6/24/2024,3.9
6/25/2024,3.84
6/26/2024,3.6
6/27/2024,4.12
6/28/2024,4.04
6/29/2024,2.22
6/30/2024,2.79
7/1/2024,3.75
7/2/2024,3.67
7/3/2024,4.12
7/4/2024,3.67
7/5/2024,3.97
7/6/2024,2.41
7/7/2024,2.23
7/8/2024,3.12
7/9/2024,3.28
7/10/2024,4.17
7/11/2024,3.5
7/12/2024,3.02
7/13/2024,2.95
7/14/2024,3.46
7/15/2024,4.34
7/16/2024,4.92
7/17/2024,5.51
7/18/2024,5.8
7/19/2024,4.45
7/20/2024,3.06
7/21/2024,3.68
7/22/2024,4.52
7/23/2024,3.91
7/24/2024,3.45
7/25/2024,3.81
7/26/2024,2.71
7/27/2024,4.48
7/28/2024,2.73
7/29/2024,3.01
7/30/2024,4.33
7/31/2024,4.45
8/1/2024,5.08
8/2/2024,3.78
8/3/2024,2.73
8/4/2024,3.1
8/5/2024,13.8
8/6/2024,3.87
8/7/2024,4.17
8/8/2024,4.64
8/9/2024,4.25
8/10/2024,2.54
8/11/2024,3.42
8/12/2024,4.59
8/13/2024,3.74
8/14/2024,3.99
8/15/2024,4.45
8/16/2024,2.32
8/17/2024,2.09
8/18/2024,2.24
8/19/2024,2.73
8/20/2024,3.46
8/21/2024,3.27
8/22/2024,2.39
8/23/2024,2.39
8/24/2024,2.21
8/25/2024,1.77
8/26/2024,2.23
8/27/2024,2.71
8/28/2024,2.66
8/29/2024,2.29
8/30/2024,1.98
8/31/2024,1.38
9/1/2024,1.58
9/2/2024,2.97
9/3/2024,3.11
9/4/2024,4.4
9/5/2024,4.95
9/6/2024,4.65
9/7/2024,3.24
9/8/2024,2.1
9/9/2024,4.23
9/10/2024,4.88
9/11/2024,3.49
9/12/2024,4.02
9/13/2024,3.46
9/14/2024,2.69
9/15/2024,2.61
9/16/2024,6.54
9/17/2024,5.07
9/18/2024,5.83
9/19/2024,7.04
9/20/2024,6.69
9/21/2024,6.35
9/22/2024,5.86
9/23/2024,7.67
9/24/2024,7.01
9/25/2024,7.21
9/26/2024,7.33
9/27/2024,5.34
9/28/2024,3.37
9/29/2024,4.14
9/30/2024,4.89
10/1/2024,5.09
10/2/2024,4.99
10/3/2024,4.26
10/4/2024,3.74
10/5/2024,4.32
10/6/2024,5.37
10/7/2024,7.14
10/8/2024,10.1
10/9/2024,7.25
10/10/2024,5.71
10/11/2024,6.04
10/12/2024,5.61
10/13/2024,5.72
10/14/2024,5.9
10/15/2024,5.04
10/16/2024,4.74
10/17/2024,4.54
10/18/2024,4.76
10/19/2024,3.11
10/20/2024,3.08
10/21/2024,3.73
10/22/2024,3.87
10/23/2024,3.8
10/24/2024,4.1
10/25/2024,3.81
10/26/2024,2.99
10/27/2024,2.69
10/28/2024,3.48
10/29/2024,4.33
10/30/2024,5.53
10/31/2024,3.92
11/1/2024,4.02
11/2/2024,3.19
11/3/2024,3.58
11/4/2024,3.74
11/5/2024,3.65
11/6/2024,6.42
11/7/2024,5.54
11/8/2024,4.68
11/9/2024,3.83
11/10/2024,4.96
11/11/2024,6.61
11/12/2024,6.74
11/13/2024,8.83
11/14/2024,6.81
11/15/2024,5.16
11/16/2024,4.08
11/17/2024,4.41
11/18/2024,5.04
11/19/2024,5.04
11/20/2024,3.96
11/21/2024,4.83
11/22/2024,3.57
11/23/2024,4.08
11/24/2024,3.09
11/25/2024,4.14
11/26/2024,3.94
11/27/2024,4.18
11/28/2024,3.26
11/29/2024,2.79
