ds,y,Average Gas Price,Average Block Size,Price ,Daily Transactions,Average Block Time,Unique Address Total Count,Unique Address Receive Count,Unique Address Sent Count,Verified Contracts,Deployed Contracts
8/7/2015,3.73E+19,6.05E+11,633,2.77,2050,16.65,1087,784,609,0,34
8/8/2015,6.81E+19,3.23E+11,668,0.81,2881,16.44,827,605,477,0,74
8/9/2015,1.41E+19,4.75E+11,618,0.74,1329,16.86,733,462,500,0,31
8/10/2015,3.12E+19,4.22E+11,631,0.68,2037,16.44,1002,821,763,0,38
8/11/2015,1.13E+19,77838819162,692,1.06,4963,16.37,2343,2132,2112,0,18
8/12/2015,3.26E+19,4.45E+11,653,1.25,2036,16.86,907,581,685,0,43
8/13/2015,2.49E+19,2.69E+11,666,1.78,2842,16.34,1275,872,993,0,36
8/14/2015,1.44E+19,1.93E+11,660,1.8,3174,14.88,1595,1115,1188,0,31
8/15/2015,8.84E+18,1.44E+11,638,1.79,2284,16.04,1314,857,1064,0,20
8/16/2015,6.68E+18,1.21E+11,641,1.37,2440,16.84,1203,765,989,0,18
8/17/2015,7.64E+18,1.32E+11,635,1.2,2512,16.16,1250,816,1000,0,9
8/18/2015,1.19E+19,1.47E+11,648,1.27,2494,17.46,1295,834,1048,0,9
8/19/2015,1.54E+19,1.95E+11,653,1.26,3246,16.64,1351,823,1148,0,22
8/20/2015,6.86E+18,99011782801,650,1.48,2303,21.47,1168,658,992,0,37
8/21/2015,7.86E+18,79543407701,668,1.44,3919,16.98,1426,913,1231,0,31
8/22/2015,4.25E+19,5.53E+11,648,1.39,3579,16.39,1415,840,1242,0,17
8/23/2015,8.05E+18,73439482806,681,1.35,4190,17.24,1571,885,1417,0,64
8/24/2015,8.88E+18,92409814705,673,1.24,4432,16.67,1437,873,1290,0,9
8/25/2015,8.26E+18,76432335617,680,1.17,4487,16.95,1581,951,1406,0,38
8/26/2015,7.45E+18,60481160549,669,1.16,4156,17.27,1528,883,1393,0,44
8/27/2015,8.67E+18,59307091958,708,1.13,5590,18.35,1592,929,1427,0,22
8/28/2015,9.93E+18,92879907335,691,1.3,4758,18.57,1532,919,1376,0,35
8/29/2015,5.51E+18,56211090684,682,1.18,4139,19.93,1376,839,1248,0,30
8/30/2015,5.63E+18,55155494457,689,1.32,4572,20.77,1625,931,1495,0,25
8/31/2015,7.42E+18,58423521569,731,1.35,5196,20.87,1516,947,1386,0,31
9/1/2015,7.84E+18,56671549652,741,1.35,5153,21.86,1556,916,1432,0,39
9/2/2015,8.15E+18,59243651401,766,1.29,5195,24.12,1515,875,1400,0,36
9/3/2015,6.97E+18,55051483461,755,1.26,4777,25.53,1449,778,1343,0,39
9/4/2015,9.73E+18,58779015464,762,1.27,5642,19.3,1451,761,1355,0,41
9/5/2015,9.14E+18,54768144366,753,1.37,5519,17.48,1487,830,1388,0,48
9/6/2015,8.06E+18,55089818552,733,1.3,5521,17.19,1588,965,1406,0,32
9/7/2015,9.26E+18,53594260637,753,1.24,5702,17.77,1633,969,1511,0,78
