Date,Price,Ampirion Load Forecast,PV+Wind Forecast
2012/1/9 0:00,34.97,16382,3569.5275
2012/1/9 1:00,33.43,15410.5,3315.275
2012/1/9 2:00,32.74,15595,3107.3075
2012/1/9 3:00,32.46,16521,2944.62
2012/1/9 4:00,32.5,17700.75,2897.15
2012/1/9 5:00,36.13,19348.75,2676.35
2012/1/9 6:00,43.02,23058.5,2533.8475
2012/1/9 7:00,59.03,25349.25,2555.8675
2012/1/9 8:00,64.48,26336.75,2818.96925
2012/1/9 9:00,58.72,26321,3386.187
2012/1/9 10:00,56.48,26702.25,4070.4345
2012/1/9 11:00,56.04,27067.25,4973.325
2012/1/9 12:00,55.7,27118.25,5607.1035
2012/1/9 13:00,54.84,27294,5967.23925
2012/1/9 14:00,52.32,26945,6140.01575
2012/1/9 15:00,50.72,26476.25,6277.727
2012/1/9 16:00,51.89,26262.75,6721.00125
2012/1/9 17:00,57.02,27124.75,7376.6875
2012/1/9 18:00,61.27,27223.75,8252.1
2012/1/9 19:00,53.2,26864.75,9022.2375
2012/1/9 20:00,47.31,25721.5,9766.6725
2012/1/9 21:00,42,24687.25,10524.715
2012/1/9 22:00,42.19,23773.25,11119.3775
2012/1/9 23:00,41.34,21544,11002.0875
2012/1/10 0:00,31.92,19653.5,12722.2675
2012/1/10 1:00,31.11,18728.75,12738.47
2012/1/10 2:00,30.71,18267.5,12384.14
2012/1/10 3:00,28.06,18869.5,11711.74
2012/1/10 4:00,30.5,19515.5,10956.2675
2012/1/10 5:00,33.82,20626.5,10149.725
2012/1/10 6:00,39.82,23725.25,9336.0975
2012/1/10 7:00,47.99,26307.5,8528.595
2012/1/10 8:00,52.96,27139.5,7846.125
2012/1/10 9:00,51.06,27179.5,7842.121
2012/1/10 10:00,51.06,27406,8048.59775
2012/1/10 11:00,53,27814.25,8264.66275
2012/1/10 12:00,52.21,27924.25,7961.83275
2012/1/10 13:00,52.96,27863.25,7150.18475
2012/1/10 14:00,51.99,27100.75,6092.46775
2012/1/10 15:00,51.94,26729.75,4880.81575
2012/1/10 16:00,54.96,26989.75,4061.8195
2012/1/10 17:00,61.18,27868.75,4030.8425
2012/1/10 18:00,61.18,27728.5,4361.9275
2012/1/10 19:00,56.79,27200,4693.6225
2012/1/10 20:00,48,26211,5015.31
2012/1/10 21:00,42.74,25286.5,5310.0075
2012/1/10 22:00,42.93,23835.75,5610.4825
2012/1/10 23:00,39.67,21477.25,5920.63
2012/1/11 0:00,40.09,19162.75,6311.4775
2012/1/11 1:00,35.92,18353.75,6763.98
2012/1/11 2:00,34.08,18304.25,7173.6375
2012/1/11 3:00,29.41,18664.75,7607.7075
2012/1/11 4:00,30.11,19372.75,8053.505
2012/1/11 5:00,36.11,20418,8393.0575
2012/1/11 6:00,44,23549,8683.0725
2012/1/11 7:00,52,26177,8894.97
2012/1/11 8:00,51.91,27151.5,9224.22975
2012/1/11 9:00,51.96,27245,10022.432
2012/1/11 10:00,51.43,27582.75,10867.30075
2012/1/11 11:00,51.99,27984.5,12180.015
2012/1/11 12:00,51.56,28054.5,12100.8365
2012/1/11 13:00,50.39,27900.25,11375.0065
2012/1/11 14:00,49.03,27226.75,10075.10975
2012/1/11 15:00,50.92,26898.5,8632.18375
2012/1/11 16:00,49.09,27007.5,7529.182
2012/1/11 17:00,60.2,27847.25,7031.1825
